# Word;AdvicedAlternative
# can be used for suggesting a more common word
# TODO: remove doubles
# TODO: remove incorrect spellings after certification of words list
#
beheersomgeving;beheeromgeving
beheersomgevingen;beheeromgevingen
beheersoplossingen;beheeroplossingen
beheerspagina's;beheerpagina's
beheerspartner;beheerpartner
beheersplatform;beheerplatform
beheerspremie;beheerpremie
beheersproces;beheerproces
beheersprocessen;beheerprocessen
beheersprogramma;beheerprogramma
beheersproject;beheerproject
beheersprovisies;beheerprovisies
beheersrapporten;beheerrapporten
beheersregimes;beheerregimes
beheersrekening;beheerrekening
beheerssituaties;beheersituaties
beheerssoftware;beheersoftware
beheersstichtingen;beheerstichtingen
beheerssysteem;beheersysteem
beheersteam;beheerteam
beheerstechnologie;beheertechnologie
beheerstoepassingen;beheertoepassingen
beheersverplichting;beheerverplichting
beheersvisserij;beheervisserij
beheersvoorziening;beheervoorziening
beheertypes;beheertypen
beheervennootschap;beheersvennootschap
beheervennootschappen;beheersvennootschappen
beheerverordening;beheersverordening
beheerverordeningen;beheersverordeningen
beheerverplichtingen;beheersverplichtingen
beheerverslag;beheersverslag
beheerverslagen;beheersverslagen
beheerzaak;beheerszaak
beheerzaken;beheerszaken
behoefteanalysen;behoefteanalyses
beiaards;beiaarden
beigekleurig;beige
bekabelingconcepten;bekabelingsconcepten
bekabelingoplossing;bekabelingsoplossing
bekabelingoplossingen;bekabelingsoplossingen
bekabelingschema's;bekabelingsschema's
bekermatches;bekermatchen
bekerronden;bekerrondes
bekkenbeheersplan;bekkenbeheerplan
bekkenbeheersplannen;bekkenbeheerplannen
bekkenslagaderen;bekkenslagaders
bekledingstof;bekledingsstof
bekledingstoffen;bekledingsstoffen
belangenpakket;belangpakket
belastingambtenaars;belastingambtenaren
belastingenaangifte;belastingaangifte
belastingensfeer;belastingsfeer
belastingensysteem;belastingsysteem
belastingenverhoging;belastingverhoging
belastingenverlaging;belastingverlaging
belastingexperten;belastingexperts
belastingkomsten;belastinginkomsten
belastingmaatregels;belastingmaatregelen
belastingoptimalisering;belastingoptimalisatie
belastingrichting;belastingsrichting
belastingsdruk;belastingdruk
belastingtoestanden;belastingstoestanden
belbushalten;belbushaltes
belediginkje;beledigingetje
beleggingsexperten;beleggingsexperts
beleggingskeuzen;beleggingskeuzes
beleidsambtenaars;beleidsambtenaren
beleidsanalysen;beleidsanalyses
beleidscyclussen;beleidscycli
beleidskeuzen;beleidskeuzes
beleidsmaatregels;beleidsmaatregelen
beleidsmannen;beleidslieden
beleidsmannen;beleidslui
beleidsmechanismes;beleidsmechanismen
beleidsperioden;beleidsperiodes
beleidsregelen;beleidsregels
beleidsthemata;beleidsthema's
belichtingswaardes;belichtingswaarden
bellefleurs;bellefleuren
bellengerinkel;belgerinkel
bellenvorming;belvorming
belspelen;belspellen
beminnaren;beminnaars
bemoeiallen;bemoeials
bemonsteringsprotocols;bemonsteringsprotocollen
benaderingswijzes;benaderingswijzen
benchen;benches
benchmarktesten;benchmarktests
benchmarkwaardes;benchmarkwaarden
benenwerk;beenwerk
benuttiging;benutting
benzinemotors;benzinemotoren
benzinetanken;benzinetanks
beoordelaren;beoordelaars
beoordelingscriteriums;beoordelingscriteria
beoordelingscyclussen;beoordelingscycli
beoordelingsronden;beoordelingsrondes
bepalingsmethodes;bepalingsmethoden
beplantingstypes;beplantingstypen
bereidingswijzes;bereidingswijzen
berekeningswijzes;berekeningswijzen
berekeninkje;berekeningetje
bergengebied;berggebied
bergengroep;berggroep
bergenketen;bergketen
bergenmassief;bergmassief
bergenroute;bergroute
bergentocht;bergtocht
bergenwereld;bergwereld
bergetappen;bergetappes
bergketenen;bergketens
bergpadje;bergpaadje
bergpadjes;bergpaadjes
bergvlaktes;bergvlakten
bergwegje;bergweggetje
bergwegjes;bergweggetjes
bergweides;bergweiden
berichteninhoud;berichtinhoud
berichtenregel;berichtregel
berichtensoort;berichtsoort
berichtenspecificatie;berichtspecificatie
berichtenstandaards;berichtenstandaarden
berichting;berichtgeving
berkenbladen;berkenbladeren
bermenbeheer;bermbeheer
beroepsinteressetests;beroepstesten
beroepskeuzen;beroepskeuzes
beroepsmannen;beroepslieden
beroepsmannen;beroepslui
beroepsschrift;beroepschrift
beroepsschriften;beroepschriften
beroepsziektes;beroepsziekten
beroepzaak;beroepszaak
beroepzaken;beroepszaken
beroerten;beroertes
beschavingsziektes;beschavingsziekten
beschermingbeleid;beschermingsbeleid
beschermingbewind;beschermingsbewind
beschermingfactor;beschermingsfactor
beschermingfuncties;beschermingsfuncties
bescherminggraad;beschermingsgraad
bescherminginrichtingen;beschermingsinrichtingen
beschermingklasse;beschermingsklasse
beschermingmechanisme;beschermingsmechanisme
beschermingmiddel;beschermingsmiddel
beschermingmiddelen;beschermingsmiddelen
beschermingniveau;beschermingsniveau
beschermingregels;beschermingsregels
beschermingsmaatregels;beschermingsmaatregelen
beschermingsmechanismes;beschermingsmechanismen
beschermingsmodulen;beschermingsmodules
beschermingsstandaards;beschermingsstandaarden
beschermingstatus;beschermingsstatus
beschermingstatuut;beschermingsstatuut
beschermingsysteem;beschermingssysteem
bescherminguitrusting;beschermingsuitrusting
beschermingzone;beschermingszone
beschermingzones;beschermingszones
beschikkingnummer;beschikkingsnummer
beschikkingrecht;beschikkingsrecht
beschikkingsverlening;beschikkingverlening
beschotten;beschoten
beschuitenbakker;beschuitbakker
beschuitenfabriek;beschuitfabriek
beslagnamen;beslagnames
besparingsmaatregels;besparingsmaatregelen
besparingsronden;besparingsrondes
bestandsanalysen;bestandsanalyses
bestandsdatums;bestandsdata
bestandsdeel;bestanddeel
bestandsdeeltjes;bestanddeeltjes
bestandsdelen;bestanddelen
bestandsgrootten;bestandsgroottes
besteldatums;besteldata
bestelgrootten;bestelgroottes
bestelperioden;bestelperiodes
bestelronden;bestelrondes
bestelwaardes;bestelwaarden
bestemmingplan;bestemmingsplan
bestemmingplannen;bestemmingsplannen
bestemmingsplans;bestemmingsplannen
bestiariums;bestiaria
bestuurderstoel;bestuurdersstoel
bestuurderstoelen;bestuurdersstoelen
bestuuren;bestuurslasten
bestuurscrisissen;bestuurscrises
betaaldatums;betaaldata
betaalparkingen;betaalparkings
betaalplatforms;betaalplatformen
betaalritmen;betaalritmes
betaalwaters;betaalwateren
betalingsdatums;betalingsdata
betalingsgewoontes;betalingsgewoonten
betalingsmechanismes;betalingsmechanismen
betalingstypes;betalingstypen
betalingswijzes;betalingswijzen
betekenissenruimte;betekenisruimte
betogingetje;betoginkje
betonpadje;betonpaadje
betonweggetjes;betonwegjes
beukenbladen;beukenbladeren
beurscrisissen;beurscrises
beursdatums;beursdata
beurshandelaars;beurshandelaren
beursorganisators;beursorganisatoren
beursplatforms;beursplatformen
beurswaardes;beurswaarden
beurtensysteem;beurtsysteem
beurzenaanbod;beursaanbod
beurzencomplex;beurscomplex
beurzenfonds;beursfonds
beurzenorganisatie;beursorganisatie
beurzenorganisator;beursorganisator
beurzenoverzicht;beursoverzicht
beurzenwereld;beurswereld
beveiligingsbeambtes;beveiligingsbeambten
beveiligingsbehoeftes;beveiligingsbehoeften
beveiligingsexperten;beveiligingsexperts
beveiligingslieden;beveiligingsmannen
beveiligingslui;beveiligingsmannen
beveiligingsmaatregels;beveiligingsmaatregelen
beveiligingsmechanismes;beveiligingsmechanismen
beveiligingsprotocols;beveiligingsprotocollen
beveiligingsstandaards;beveiligingsstandaarden
bevelsstructuren;bevelstructuren
bevelsvoering;bevelvoering
bevestigingsmechanismes;bevestigingsmechanismen
